,AFG,,,ALB,DZA,AGO,,ARG,ARM,,,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BOL,BIH,,BRA,BGR,BFA,BDI,,KHM,CMR,CAN,,CAF,TCD,CHL,CHN,,,,COL,COG,CRI,,HRV,CUB,CYP,CZE,,COD,DNK,DJI,DOM,,ECU,,EGY,SLV,GNQ,EST,ETH,,,,FJI,FIN,,,,,,,,,,,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRL,GLP,GTM,GIN,GNB,GUY,HTI,HND,HUN,ISL,IND,IDN,,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,PRK,KOR,KWT,KGZ,,LAO,LVA,LBN,LBR,LBY,LTU,MDG,MWI,MYS,MLI,MLT,MRT,MUS,MEX,MNG,MAR,MOZ,MMR,NPL,,NLD,,,NZL,NIC,NER,NGA,NOR,,OMN,,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,MDA,ROU,RUS,RWA,WSM,SAU,SEN,SYC,SLE,SGP,SVK,SVN,SOM,ZAF,ESP,LKA,SHN,,,SDN,SUR,SWE,CHE,SYR,,TJK,TZA,MKD,THA,TGO,TTO,TUN,TUR,TKM,UGA,GBR,UKR,ARE,URY,,USA,UZB,VEN,VNM,,YEM,,ZMB,ZWE
ETH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4034,2951,NA,NA,NA,NA,NA,NA,59051,NA,NA,NA,NA,NA,NA,NA,2143,NA,NA,NA,NA,NA,11630,NA,NA,NA,NA,53820,730,NA,NA,NA,NA,NA,NA,NA,NA,NA,1584,NA,NA,9514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2330,NA,NA,NA,NA,NA,NA,NA,NA,NA,79417,NA,NA,NA,157924,NA,NA,12288,NA,NA,NA,NA,NA,NA,NA,NA,3564,NA,NA,14335,NA,NA,NA,NA,19415,164309,NA,107700,NA,NA,NA,NA,NA,21609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9541,NA,NA,NA,NA,1175,NA,1620,NA,NA,NA,NA,36706,NA,NA,NA,NA,NA,NA,1272,NA,NA,NA,4244,NA,NA,NA,NA,NA,5114,NA,NA,NA,3447,56680,NA,NA,NA,NA,NA,NA,10284,2464,NA,NA,8905,27254,NA,NA,NA,NA,NA,NA,20012,5750,NA,NA,NA,NA,NA,5803,NA,NA,549,NA,NA,NA,62235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FJI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,518256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2792,NA,NA,NA,NA,11460,16525,NA,NA,489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10550,NA,NA,NA,9493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13309,NA,NA,NA,NA,NA,1497,NA,69691,NA,NA,NA,NA,NA,17490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,511,NA,NA,127478,NA,NA,44120,NA,NA,NA,NA,NA,NA,NA,NA,NA,1258,789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53357,NA,NA,NA,NA,459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19346,NA,NA,NA,NA,NA,NA,110904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIN,9743,NA,NA,NA,97927,NA,2151052,162000,NA,NA,NA,743237,1014275,NA,NA,NA,40155,NA,20320,1893987,NA,NA,NA,19460,6239,NA,517221,55897,NA,NA,NA,3465,7634,553720,NA,NA,NA,172755,3358243,590986,6217,NA,122147,NA,42806,10656,28556,8841,14793,487232,NA,NA,2477527,NA,65105,NA,5793,NA,185264,62447,NA,2318060,2330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4032262,NA,NA,NA,9838230,6373,NA,521355,NA,NA,31455,NA,NA,NA,NA,6629,499054,48956,NA,270744,NA,97313,NA,677585,328120,3181787,14885,2658113,NA,141232,49008,NA,NA,818780,NA,1228,NA,NA,319457,NA,NA,NA,197755,2877,2672,394640,NA,28560,4206,2343,272653,NA,133172,NA,1979,357,NA,2942436,NA,19529,89898,7354,NA,3669,2505420,NA,NA,NA,29692,23527,1052,554,44358,458005,1168453,383908,NA,976,62498,5110086,NA,NA,161414,NA,2313,NA,383733,134913,78556,NA,412956,1748293,10233,NA,15796,NA,1559,NA,7007119,1201898,NA,729946,NA,11015,6791,350686,NA,NA,50400,808204,NA,NA,6244762,108369,348195,8319,NA,5769157,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93350,NA,NA,NA,4335,NA,NA,359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1810,NA,NA,NA,NA,NA,2922,NA,672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,5586,NA,NA,32095,4527712,495125,NA,1429901,10951,6035,NA,2160208,5494173,202903,59316,322263,553955,16931,124905,45892791,4182,216309,NA,43009,86017,NA,4285602,600798,144193,13828,NA,94615,796914,4751187,NA,43678,56787,1302108,13821037,2734410,163273,NA,560928,233591,179821,1438475,430864,289463,229599,2809748,NA,NA,4585555,43216,156391,NA,93719,NA,1436256,247513,32898,154064,79417,NA,NA,NA,10550,4032262,NA,NA,NA,NA,NA,NA,NA,93350,NA,14996,577790,12255,81277,98809144,190505,35329,2571360,7794,NA,64067,177260,15565,10815,29456,45994,3345804,189357,NA,1628089,NA,1685091,1716216,9085666,2116171,54384549,147228,18180712,170697,559109,172564,3165,31855,4494230,664375,3656,NA,51991,179564,573711,1495745,891829,392132,570289,14210,3180516,156834,813758,249616,587266,2200457,12258,5151300,41943,87393,29959,154444,24615766,NA,903146,490643,25548,142079,1623142,8637757,NA,100822,NA,571503,112873,4796,37204,251075,847529,4884384,7164984,180346,31487,1650805,6097273,7818,NA,4484163,633884,62278,46755,4642543,975968,1750795,7767,1981372,47539191,531256,NA,130456,17180,94701,51206,8512626,15673284,818767,4529820,7830,34963,71986,2480493,115775,196760,4052003,5559332,72591,47554,51943490,404390,2231017,164566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GAB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3223,NA,NA,NA,NA,NA,NA,60368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4290,NA,NA,NA,NA,339597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,577790,NA,NA,NA,28868,NA,NA,12685,NA,NA,NA,NA,NA,NA,NA,NA,647,NA,NA,1996,NA,NA,NA,7077,13064,62150,NA,41277,NA,NA,NA,NA,NA,179748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1223,NA,NA,NA,NA,NA,NA,24483,NA,NA,NA,NA,38948,NA,NA,NA,NA,NA,NA,6279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32161,NA,NA,513,NA,NA,NA,NA,NA,NA,NA,12992,NA,NA,NA,21991,85026,NA,NA,NA,NA,NA,NA,4403,1201,NA,NA,NA,NA,NA,9271,NA,NA,3110,15191,NA,NA,28331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12255,NA,NA,NA,5663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6252,NA,9264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2734,3290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GEO,NA,NA,NA,NA,NA,NA,NA,5698,NA,NA,NA,NA,8400,NA,NA,NA,NA,NA,NA,6185,NA,NA,NA,NA,NA,NA,NA,24391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4817,NA,NA,5544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81277,NA,NA,NA,102559,NA,NA,26467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10127,NA,20867,NA,2497,1107,120397,NA,4957,NA,12055,NA,NA,NA,4325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6822,NA,NA,NA,3840,119294,NA,NA,NA,NA,NA,NA,4594,NA,NA,NA,478,15325,NA,NA,NA,NA,NA,NA,14157,NA,NA,NA,NA,NA,NA,5737,NA,NA,NA,279187,NA,NA,36347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DEU,17453,NA,NA,68989,2314068,115861,NA,2052157,45094,42223,NA,4686794,45679701,291039,156726,157776,880467,20921,790987,56044428,8010,51159,11629,39736,407522,NA,8154131,1442061,12191,11703,NA,112207,138711,8455078,NA,7875,17181,1380915,27326457,6473124,288156,NA,979569,91613,354457,356043,1807641,103056,483544,22346080,NA,20122,17314077,6491,161358,NA,357969,NA,1617758,223527,4289,698496,157924,NA,NA,NA,9493,9838230,NA,NA,NA,NA,NA,NA,NA,4335,NA,98809144,28868,5663,102559,NA,224794,173111,5313099,3772,NA,223922,62046,7277,7196,12185,121210,17952447,610076,NA,3551428,NA,1904543,152180,13251245,4509293,75389930,124692,37204702,404169,1279338,190384,7764,72184,9984747,714621,129445,NA,24918,915399,411497,495818,2976259,1352326,75542,53253,5915658,37279,546087,38324,128742,7498390,28433,1040391,20674,121685,109115,127423,71038109,NA,38119,993709,83199,30759,1358720,13796890,27257,189205,5669,911226,223659,135669,44759,471453,2531776,22882612,10736628,215289,171559,3841529,19601059,24403,1665,3457879,45931,17672,11213,7800706,6338128,4284003,607,6438983,37853322,408756,NA,449046,710,134785,3749,21411692,41888818,1801939,12184660,13450,101836,483523,4349977,26730,60214,1708664,12838097,61766,62245,77575570,2040186,2145655,204501,61848,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33521,23524,NA,NA,NA,NA,NA,NA,107780,NA,NA,NA,NA,NA,NA,43058,4777,NA,NA,NA,NA,NA,46956,NA,NA,NA,NA,115844,1938,NA,NA,NA,NA,NA,NA,NA,NA,NA,3248,NA,NA,15080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6373,NA,NA,NA,NA,NA,NA,NA,NA,NA,190505,NA,NA,NA,224794,NA,NA,4791,NA,NA,NA,NA,NA,NA,NA,NA,747,NA,NA,23269,NA,859,NA,43558,4816,396776,NA,88531,NA,NA,NA,NA,NA,54676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25761,NA,NA,NA,NA,327,NA,5675,NA,NA,NA,NA,305954,NA,NA,2328,NA,NA,397087,7995,NA,NA,NA,NA,NA,NA,NA,1061,NA,10596,9256,NA,NA,4954,18714,NA,NA,NA,NA,NA,NA,13084,1294,NA,NA,93843,118081,NA,NA,NA,NA,NA,NA,28540,29431,NA,NA,NA,NA,NA,65925,NA,NA,2779,38905,NA,NA,376644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
